ai_app_id,ability_id,level,lo,hi,n,range
1,1,1.0,1.0,1.0,3,0.0
1,2,1.2,1.0,1.5,3,0.5
1,3,1.0,1.0,1.0,3,0.0
1,4,1.0,1.0,1.0,3,0.0
1,5,3.5,3.0,3.5,3,0.5
1,6,3.5,3.5,4.5,3,1.0
1,7,4.0,3.5,5.0,3,1.5
1,8,4.5,4.5,5.0,3,0.5
1,9,3.8,3.5,4.2,3,0.7000000000000002
1,10,5.0,4.5,5.2,3,0.7000000000000002
1,11,2.8,2.5,3.4,3,0.8999999999999999
1,12,2.0,2.0,2.5,3,0.5
1,13,2.0,1.5,2.0,3,0.5
1,14,6.0,5.3,6.0,3,0.7000000000000002
1,15,5.0,4.5,5.0,3,0.5
1,16,5.0,5.0,5.0,3,0.0
1,17,4.0,4.0,4.5,3,0.5
1,18,1.5,1.4,2.0,3,0.6000000000000001
1,19,6.2,6.2,6.3,3,0.09999999999999964
1,20,4.3,4.0,4.5,3,0.5
1,21,2.4,2.3,2.5,3,0.20000000000000018
1,22,1.0,1.0,1.0,3,0.0
1,23,1.0,1.0,1.0,3,0.0
1,24,1.0,1.0,1.0,3,0.0
1,25,1.0,1.0,1.0,3,0.0
1,26,1.0,1.0,1.0,3,0.0
1,27,1.5,1.5,2.0,3,0.5
1,28,1.0,1.0,1.0,3,0.0
1,29,1.0,1.0,1.0,3,0.0
1,30,1.0,1.0,1.0,3,0.0
1,31,1.0,1.0,1.0,3,0.0
1,32,1.0,1.0,1.0,3,0.0
1,33,1.0,1.0,1.0,3,0.0
1,34,1.0,1.0,1.0,3,0.0
1,35,1.0,1.0,1.0,3,0.0
1,36,1.0,1.0,1.0,3,0.0
1,37,1.0,1.0,1.0,3,0.0
1,38,1.0,1.0,1.0,3,0.0
1,39,1.0,1.0,1.0,3,0.0
1,40,1.0,1.0,1.0,3,0.0
1,41,1.0,1.0,1.0,3,0.0
1,42,1.0,1.0,1.0,3,0.0
1,43,1.0,1.0,1.0,3,0.0
1,44,1.0,1.0,1.0,3,0.0
1,45,1.0,1.0,1.0,3,0.0
1,46,1.0,1.0,1.0,3,0.0
1,47,1.0,1.0,1.0,3,0.0
1,48,1.0,1.0,1.0,3,0.0
1,49,1.0,1.0,1.0,3,0.0
1,50,1.0,1.0,1.0,3,0.0
1,51,1.0,1.0,1.0,3,0.0
1,52,1.0,1.0,1.0,3,0.0
1,53,1.0,1.0,1.0,3,0.0
1,54,1.5,1.5,1.5,3,0.0
1,55,1.0,1.0,1.0,3,0.0
1,56,1.0,1.0,1.0,3,0.0
1,57,1.3,1.3,1.5,3,0.19999999999999996
1,58,1.0,1.0,1.0,3,0.0
2,1,1.0,1.0,1.0,3,0.0
