ai_app_id,ability_id,r,r_mean,r_sd,r_min,r_max,n,r_range
1,9,0.85,0.85,,0.85,0.85,1,0.0
1,13,0.2,0.2,,0.2,0.2,1,0.0
1,17,0.8,0.8,,0.8,0.8,1,0.0
1,28,0.03,0.03,,0.03,0.03,1,0.0
1,38,0.0,0.0,,0.0,0.0,1,0.0
2,22,0.02,0.02,,0.02,0.02,1,0.0
2,27,0.65,0.65,,0.65,0.65,1,0.0
2,47,0.02,0.02,,0.02,0.02,1,0.0
2,48,0.05,0.05,,0.05,0.05,1,0.0
2,49,0.05,0.05,,0.05,0.05,1,0.0
3,2,0.1,0.1,,0.1,0.1,1,0.0
3,8,0.25,0.25,,0.25,0.25,1,0.0
3,21,0.2,0.2,,0.2,0.2,1,0.0
3,24,0.02,0.02,,0.02,0.02,1,0.0
3,25,0.05,0.05,,0.05,0.05,1,0.0
4,15,0.75,0.75,,0.75,0.75,1,0.0
4,18,0.65,0.65,,0.65,0.65,1,0.0
4,19,0.5,0.5,,0.5,0.5,1,0.0
4,26,0.0,0.0,,0.0,0.0,1,0.0
4,32,0.0,0.0,,0.0,0.0,1,0.0
5,17,0.15,0.15,,0.15,0.15,1,0.0
5,23,0.0,0.0,,0.0,0.0,1,0.0
5,32,0.0,0.0,,0.0,0.0,1,0.0
5,39,0.0,0.0,,0.0,0.0,1,0.0
5,45,0.3,0.3,,0.3,0.3,1,0.0
6,1,0.3,0.3,,0.3,0.3,1,0.0
6,23,0.0,0.0,,0.0,0.0,1,0.0
6,26,0.0,0.0,,0.0,0.0,1,0.0
6,37,0.0,0.0,,0.0,0.0,1,0.0
6,41,0.0,0.0,,0.0,0.0,1,0.0
7,26,0.0,0.0,,0.0,0.0,1,0.0
7,27,0.0,0.0,,0.0,0.0,1,0.0
7,32,0.0,0.0,,0.0,0.0,1,0.0
7,36,0.0,0.0,,0.0,0.0,1,0.0
7,42,0.0,0.0,,0.0,0.0,1,0.0
8,6,0.25,0.25,,0.25,0.25,1,0.0
8,17,0.2,0.2,,0.2,0.2,1,0.0
8,30,0.0,0.0,,0.0,0.0,1,0.0
8,41,0.05,0.05,,0.05,0.05,1,0.0
8,51,0.4,0.4,,0.4,0.4,1,0.0
9,19,0.02,0.02,,0.02,0.02,1,0.0
9,22,0.0,0.0,,0.0,0.0,1,0.0
9,33,0.0,0.0,,0.0,0.0,1,0.0
9,34,0.0,0.0,,0.0,0.0,1,0.0
9,36,0.0,0.0,,0.0,0.0,1,0.0
10,26,0.0,0.0,,0.0,0.0,1,0.0
10,27,0.05,0.05,,0.05,0.05,1,0.0
10,43,0.02,0.02,,0.02,0.02,1,0.0
10,49,0.05,0.05,,0.05,0.05,1,0.0
10,52,0.1,0.1,,0.1,0.1,1,0.0
11,19,0.3,0.3,,0.3,0.3,1,0.0
11,22,0.0,0.0,,0.0,0.0,1,0.0
11,46,0.0,0.0,,0.0,0.0,1,0.0
11,47,0.0,0.0,,0.0,0.0,1,0.0
11,51,0.02,0.02,,0.02,0.02,1,0.0
12,1,0.15,0.15,,0.15,0.15,1,0.0
12,15,0.3,0.3,,0.3,0.3,1,0.0
12,23,0.0,0.0,,0.0,0.0,1,0.0
12,42,0.0,0.0,,0.0,0.0,1,0.0
12,51,0.03,0.03,,0.03,0.03,1,0.0
