ai_app_id,ability_id,app_name,ability_name,r_primary,r_secondary,r_mean,conf_primary,conf_secondary
1,1,Abstract strategy games,Oral Comprehension,0.0,0.0,0.0,high,high
1,2,Abstract strategy games,Written Comprehension,0.25,0.25,0.25,high,medium
1,3,Abstract strategy games,Oral Expression,0.0,0.0,0.0,high,high
1,4,Abstract strategy games,Written Expression,0.25,0.25,0.25,high,high
1,5,Abstract strategy games,Fluency of Ideas,0.25,0.25,0.25,medium,medium
1,6,Abstract strategy games,Originality,0.25,0.5,0.375,medium,medium
1,7,Abstract strategy games,Problem Sensitivity,1.0,0.75,0.875,high,high
1,8,Abstract strategy games,Deductive Reasoning,1.0,1.0,1.0,high,high
1,9,Abstract strategy games,Inductive Reasoning,0.75,0.75,0.75,high,high
1,10,Abstract strategy games,Information Ordering,0.75,0.75,0.75,high,high
1,11,Abstract strategy games,Category Flexibility,0.5,0.75,0.625,medium,high
1,12,Abstract strategy games,Mathematical Reasoning,0.75,0.75,0.75,high,high
1,13,Abstract strategy games,Number Facility,0.25,0.25,0.25,medium,medium
1,14,Abstract strategy games,Memorization,0.25,0.25,0.25,medium,medium
1,15,Abstract strategy games,Speed of Closure,0.5,0.75,0.625,medium,high
1,16,Abstract strategy games,Flexibility of Closure,0.5,0.5,0.5,medium,medium
1,17,Abstract strategy games,Perceptual Speed,0.25,0.5,0.375,medium,medium
1,18,Abstract strategy games,Spatial Orientation,0.0,0.25,0.125,high,medium
1,19,Abstract strategy games,Visualization,0.5,0.75,0.625,medium,high
1,20,Abstract strategy games,Selective Attention,0.25,0.5,0.375,medium,medium
1,21,Abstract strategy games,Time Sharing,0.25,0.25,0.25,medium,medium
1,22,Abstract strategy games,Arm-Hand Steadiness,0.0,0.0,0.0,high,high
1,23,Abstract strategy games,Manual Dexterity,0.0,0.0,0.0,high,high
1,24,Abstract strategy games,Finger Dexterity,0.0,0.0,0.0,high,high
1,25,Abstract strategy games,Control Precision,0.0,0.25,0.125,high,medium
1,26,Abstract strategy games,Multilimb Coordination,0.0,0.0,0.0,high,high
1,27,Abstract strategy games,Response Orientation,0.0,0.25,0.125,high,medium
1,28,Abstract strategy games,Rate Control,0.0,0.25,0.125,high,medium
1,29,Abstract strategy games,Reaction Time,0.0,0.25,0.125,high,medium
1,30,Abstract strategy games,Wrist-Finger Speed,0.0,0.0,0.0,high,high
1,31,Abstract strategy games,Speed of Limb Movement,0.0,0.0,0.0,high,high
1,32,Abstract strategy games,Static Strength,0.0,0.0,0.0,high,high
1,33,Abstract strategy games,Dynamic Strength,0.0,0.0,0.0,high,high
1,34,Abstract strategy games,Explosive Strength,0.0,0.0,0.0,high,high
1,35,Abstract strategy games,Trunk Strength,0.0,0.0,0.0,high,high
1,36,Abstract strategy games,Stamina,0.0,0.0,0.0,high,high
1,37,Abstract strategy games,Extent Flexibility,0.0,0.0,0.0,high,high
1,38,Abstract strategy games,Dynamic Flexibility,0.0,0.0,0.0,high,high
1,39,Abstract strategy games,Gross Body Coordination,0.0,0.0,0.0,high,high
1,40,Abstract strategy games,Gross Body Equilibrium,0.0,0.0,0.0,high,high
1,41,Abstract strategy games,Near Vision,0.0,0.0,0.0,high,high
1,42,Abstract strategy games,Far Vision,0.0,0.0,0.0,high,high
1,43,Abstract strategy games,Peripheral Vision,0.0,0.0,0.0,high,high
1,44,Abstract strategy games,Depth Perception,0.0,0.0,0.0,high,high
1,45,Abstract strategy games,Visual Color Discrimination,0.0,0.0,0.0,high,high
1,46,Abstract strategy games,Night Vision,0.0,0.0,0.0,high,high
1,47,Abstract strategy games,Glare Sensitivity,0.0,0.0,0.0,high,high
1,48,Abstract strategy games,Hearing Sensitivity,0.0,0.0,0.0,high,high
1,49,Abstract strategy games,Auditory Attention,0.0,0.0,0.0,high,high
1,50,Abstract strategy games,Sound Localization,0.0,0.0,0.0,high,high
1,51,Abstract strategy games,Speech Recognition,0.0,0.0,0.0,high,high
1,52,Abstract strategy games,Speech Clarity,0.0,0.0,0.0,high,high
1,53,Abstract strategy games,Social Perceptiveness,0.0,0.25,0.125,high,medium
1,54,Abstract strategy games,Coordination,0.0,0.25,0.125,high,medium
1,55,Abstract strategy games,Persuasion,0.0,0.25,0.125,high,medium
1,56,Abstract strategy games,Negotiation,0.0,0.25,0.125,high,medium
1,57,Abstract strategy games,Instructing,0.0,0.25,0.125,high,medium
1,58,Abstract strategy games,Service Orientation,0.0,0.25,0.125,high,medium
2,1,Real-time video games,Oral Comprehension,0.0,0.25,0.125,high,medium
2,2,Real-time video games,Written Comprehension,0.0,0.0,0.0,high,high
2,3,Real-time video games,Oral Expression,0.0,0.25,0.125,high,medium
2,4,Real-time video games,Written Expression,0.0,0.0,0.0,high,high
2,5,Real-time video games,Fluency of Ideas,0.0,0.25,0.125,high,medium
2,6,Real-time video games,Originality,0.0,0.25,0.125,high,medium
2,7,Real-time video games,Problem Sensitivity,0.25,0.25,0.25,medium,medium
2,8,Real-time video games,Deductive Reasoning,0.25,0.25,0.25,medium,medium
2,9,Real-time video games,Inductive Reasoning,0.25,0.25,0.25,medium,medium
2,10,Real-time video games,Information Ordering,0.25,0.25,0.25,medium,medium
2,11,Real-time video games,Category Flexibility,0.25,0.25,0.25,medium,medium
2,12,Real-time video games,Mathematical Reasoning,0.0,0.25,0.125,high,medium
2,13,Real-time video games,Number Facility,0.0,0.25,0.125,high,medium
2,14,Real-time video games,Memorization,0.25,0.25,0.25,medium,medium
2,15,Real-time video games,Speed of Closure,0.5,0.5,0.5,medium,medium
2,16,Real-time video games,Flexibility of Closure,0.25,0.5,0.375,medium,medium
2,17,Real-time video games,Perceptual Speed,0.5,0.75,0.625,medium,high
2,18,Real-time video games,Spatial Orientation,0.75,0.75,0.75,high,high
2,19,Real-time video games,Visualization,0.25,0.5,0.375,medium,medium
2,20,Real-time video games,Selective Attention,0.5,0.75,0.625,medium,high
2,21,Real-time video games,Time Sharing,0.75,0.75,0.75,high,high
2,22,Real-time video games,Arm-Hand Steadiness,0.75,0.75,0.75,high,high
2,23,Real-time video games,Manual Dexterity,0.75,0.75,0.75,high,high
2,24,Real-time video games,Finger Dexterity,0.75,0.75,0.75,high,high
2,25,Real-time video games,Control Precision,0.5,0.75,0.625,medium,high
2,26,Real-time video games,Multilimb Coordination,0.5,0.75,0.625,medium,high
2,27,Real-time video games,Response Orientation,0.75,0.75,0.75,high,high
2,28,Real-time video games,Rate Control,0.75,0.75,0.75,high,high
2,29,Real-time video games,Reaction Time,0.75,0.75,0.75,high,high
2,30,Real-time video games,Wrist-Finger Speed,0.75,0.75,0.75,high,high
2,31,Real-time video games,Speed of Limb Movement,0.25,0.75,0.5,medium,high
2,32,Real-time video games,Static Strength,0.0,0.0,0.0,high,high
2,33,Real-time video games,Dynamic Strength,0.0,0.25,0.125,high,medium
2,34,Real-time video games,Explosive Strength,0.0,0.0,0.0,high,high
2,35,Real-time video games,Trunk Strength,0.0,0.0,0.0,high,high
2,36,Real-time video games,Stamina,0.0,0.0,0.0,high,high
2,37,Real-time video games,Extent Flexibility,0.0,0.25,0.125,high,medium
2,38,Real-time video games,Dynamic Flexibility,0.0,0.25,0.125,high,medium
