occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
11-1011.00,0.5703472467518029,0.325295981877362,90.77720207253886
11-1011.03,0.5751363605139685,0.3307818331852536,92.84974093264249
11-1021.00,0.4868643157982407,0.23703686199768903,64.66321243523316
11-2011.00,0.5410875141978466,0.2927756980208049,79.27461139896373
11-2021.00,0.5549362812602435,0.3079542762589481,84.87046632124353
11-2022.00,0.5700728345448896,0.324983036686045,90.46632124352331
11-2031.00,0.5732870989795478,0.3286580978563858,92.2279792746114
11-3011.00,0.501219903814712,0.2512213919800292,68.29015544041451
11-3021.00,0.5297353168000588,0.2806195058652587,75.02590673575129
11-3031.01,0.5500781929944625,0.3025860184080531,82.79792746113989
11-3031.02,0.5607552597273205,0.3144464613118547,86.6321243523316
11-3051.00,0.4782101001412421,0.2286848998770968,62.69430051813472
11-3051.01,0.451686353210454,0.204020561676559,57.30569948186528
11-3051.02,0.4486888550107285,0.20132168861083857,56.6839378238342
11-3051.03,0.4503366632063567,0.20280311022783554,57.09844559585492
11-3051.04,0.4480740730831181,0.20077037496929545,56.58031088082902
11-3051.06,0.4422866052622719,0.19561744119442476,54.92227979274612
11-3061.00,0.5570892468475546,0.3103484289531756,85.49222797927462
11-3071.01,0.5596026778902164,0.31315515710190134,86.32124352331606
11-3071.02,0.4350910888450731,0.18930425559239128,53.8860103626943
11-3071.03,0.5607441917067835,0.3144340485328939,86.52849740932642
11-3111.00,0.5803074697152566,0.33675675940732347,94.4041450777202
11-3121.00,0.5703051777463812,0.3252479957643315,90.67357512953367
11-3131.00,0.5692447712634348,0.32403960961076017,90.36269430051813
11-9013.01,0.40232798666858216,0.16186780885679483,47.979274611398964
11-9013.02,0.3454543500148096,0.11933870794415459,38.23834196891192
11-9013.03,0.40129457184697115,0.16103733339384388,47.7720207253886
11-9021.00,0.48908934090369954,0.23920838338561523,65.18134715025907
11-9031.00,0.5386242295493812,0.29011606065766443,78.65284974093264
11-9032.00,0.5500001822400951,0.3025002004641378,82.59067357512953
11-9033.00,0.5886235383464589,0.3464776698955051,95.75129533678756
11-9039.01,0.5706475098099439,0.32563858045229005,90.98445595854922
11-9039.02,0.4155197243975526,0.17265664136341805,50.77720207253886
11-9041.00,0.5317199543356044,0.2827261098386572,75.75129533678756
11-9041.01,0.4746242397943229,0.2252681690003389,61.968911917098445
11-9051.00,0.40259069813890874,0.16207927022797394,48.082901554404145
11-9061.00,0.43380980726471763,0.18819094887905147,53.47150259067357
11-9071.00,0.49524549372520793,0.24526809905512498,66.42487046632124
11-9081.00,0.4666640262030257,0.21777531335201827,60.41450777202073
11-9111.00,0.5659925566095155,0.32034757413737563,89.43005181347151
11-9121.00,0.5902936239423836,0.3484465624670322,96.16580310880829
11-9121.01,0.5608015970684936,0.3144984312745731,86.73575129533678
11-9121.02,0.5279693728801006,0.2787516586994067,74.50777202072538
11-9131.00,0.5102349702642393,0.26033972488054913,69.94818652849742
11-9141.00,0.5535753400379619,0.3064456570981452,84.14507772020725
11-9151.00,0.5335428372655949,0.2846679591974211,76.26943005181347
11-9161.00,0.5300210456905174,0.2809223088748696,75.23316062176166
11-9199.01,0.5852059883763934,0.34246604883159143,95.12953367875647
11-9199.02,0.5779199223017164,0.33399143659322195,94.30051813471502
11-9199.03,0.5568577863534891,0.3100905942225082,85.38860103626943
11-9199.04,0.5630608972879213,0.3170375740546791,87.87564766839378
11-9199.07,0.46116797496706147,0.21267590113522022,59.170984455958546
11-9199.08,0.4828066377885572,0.23310224949269107,63.41968911917098
11-9199.09,0.4453193118510188,0.19830928950746493,55.751295336787564
11-9199.10,0.5361444676982587,0.2874508902434492,77.40932642487047
11-9199.11,0.5464811156516893,0.2986416097639151,81.45077720207254
13-1011.00,0.5571646937072137,0.31043249591385325,85.5958549222798
13-1021.00,0.4864639419310313,0.23664716679907782,64.4559585492228
13-1022.00,0.504634942626145,0.2546564253192927,68.9119170984456
13-1023.00,0.5870201516881906,0.3445926584880262,95.23316062176166
13-1031.01,0.5507764948328304,0.3033547472603389,83.21243523316062
13-1031.02,0.5255158303588915,0.2761668879577952,73.98963730569949
13-1032.00,0.46419584250454193,0.2154777801985015,59.89637305699482
13-1041.01,0.4639850149292372,0.2152820940788845,59.79274611398964
13-1041.02,0.4222601370015685,0.1783036233005834,51.70984455958549
13-1041.03,0.5850868847401112,0.34232666269488815,95.02590673575129
13-1041.04,0.4347459352880808,0.18900402824950815,53.78238341968912
13-1041.06,0.45022874445529076,0.2027059223337875,56.994818652849744
13-1041.07,0.5727603690262109,0.32805444032704123,91.39896373056995
13-1051.00,0.5445445911262461,0.2965288117248505,80.41450777202073
13-1071.00,0.5933630593795152,0.35207972023621803,96.6839378238342
13-1074.00,0.2943957542966813,0.08666886014791195,28.29015544041451
13-1075.00,0.5776526706890038,0.33368260795413873,93.88601036269431
13-1081.00,0.5584695180143437,0.3118882025511734,86.01036269430051
13-1081.01,0.5156586140752335,0.2659038062699906,70.88082901554404
13-1081.02,0.5477796343111134,0.30006252776601716,81.86528497409327
13-1111.00,0.5985898853311503,0.35830985082075967,97.30569948186529
13-1121.00,0.48290423095389584,0.23319649627317357,63.523316062176164
13-1131.00,0.5749427661705344,0.3305591843718258,92.74611398963731
13-1141.00,0.5751929528611763,0.3308469330211594,93.05699481865285
13-1151.00,0.5572700609817662,0.3105499208666215,85.69948186528498
13-1161.00,0.5628866533734962,0.31684138454601446,87.66839378238342
13-1199.01,0.3780632239805513,0.14293180132656852,43.3160621761658
13-1199.02,0.5381155562035655,0.28956835182827273,78.13471502590673
13-1199.03,0.5728212115819675,0.3281241404382332,91.60621761658031
13-1199.04,0.562642957897536,0.31656709807168854,87.46113989637306
13-1199.05,0.5614918169412462,0.3152730604919819,87.04663212435233
13-1199.06,0.5384553964749925,0.28993421399304137,78.44559585492227
13-2011.01,0.5166114617743385,0.2668874024366188,71.39896373056995
13-2011.02,0.5565621006722099,0.30976137190466313,85.28497409326425
13-2021.01,0.48824097577441006,0.23837925042514807,64.87046632124353
13-2021.02,0.48861646687317395,0.23874605169962348,65.07772020725389
13-2031.00,0.5531652741226833,0.3059918204952234,83.83419689119171
13-2041.00,0.5335009388940244,0.28462325180080555,76.16580310880829
13-2051.00,0.5582407233870206,0.311632705247664,85.80310880829016
13-2052.00,0.5663998646818615,0.3208088067116311,89.63730569948187
13-2053.00,0.5588661094034582,0.31233132823975807,86.11398963730569
13-2061.00,0.5683083432615951,0.32297437302073895,90.25906735751295
13-2071.00,0.5764479692396673,0.33229226124053646,93.3678756476684
13-2071.01,0.5550093899562197,0.3080354229395752,84.97409326424871
13-2072.00,0.5678591142266302,0.322463973610253,90.05181347150258
13-2081.00,0.552425365549809,0.30517378450284016,83.73056994818653
13-2082.00,0.529793778771871,0.28068144802537814,75.12953367875647
13-2099.01,0.5510684420059825,0.3036764277749009,83.3160621761658
13-2099.02,0.5533550241127222,0.30620178271079135,83.93782383419689
13-2099.04,0.5730713718140547,0.3284107971928425,91.91709844559585
15-1111.00,0.5280371434846316,0.2788232248994094,74.61139896373057
15-1121.00,0.5366884055824233,0.28803444468660366,77.61658031088083
15-1121.01,0.5462668669816086,0.29840748996190253,81.24352331606218
15-1122.00,0.5444174558918714,0.2963903662797778,80.20725388601036
15-1131.00,0.5319303716744554,0.2829499203097243,75.85492227979275
15-1132.00,0.5262748273323448,0.2769651938836893,74.19689119170984
15-1133.00,0.550044293728886,0.302548725063709,82.69430051813471
15-1134.00,0.5097821766222357,0.2598778676017043,69.84455958549223
15-1141.00,0.5386132016057663,0.29010418094401386,78.54922279792746
15-1142.00,0.4712231354861789,0.22205124341742571,61.13989637305699
15-1143.00,0.5111933578206961,0.26131864907999824,70.15544041450777
15-1143.01,0.4279739179881573,0.183161674478134,52.84974093264249
15-1151.00,0.4441978247418642,0.19731170750540392,55.44041450777202
15-1152.00,0.4917037554805022,0.2417725831536295,65.5958549222798
15-1199.01,0.537368626749448,0.2887650410145875,77.72020725388602
15-1199.02,0.532252401606219,0.28329261901558783,75.95854922279793
15-1199.03,0.5230998987118524,0.2736335040323502,72.84974093264249
15-1199.04,0.5332925760757711,0.2844009716975321,76.06217616580311
15-1199.05,0.48971196127705896,0.23981780501782368,65.38860103626943
15-1199.06,0.5380454372541945,0.2894928925500574,78.03108808290155
15-1199.08,0.5918029634643343,0.35023074756516814,96.47668393782384
15-1199.09,0.5759430140809165,0.33171035546861083,93.26424870466322
15-1199.10,0.5658119757323409,0.3201431918821351,89.32642487046633
15-1199.11,0.5039828785520424,0.2539987418736027,68.80829015544042
15-1199.12,0.5349220782192046,0.2861416297663528,76.99481865284974
15-2011.00,0.5537650597473165,0.306655741396949,84.35233160621762
15-2021.00,0.564593985896431,0.31876636891041926,88.60103626943005
15-2031.00,0.5631777875797432,0.3171692204232144,88.08290155440415
15-2041.00,0.5491175711095164,0.30153010690121484,82.1761658031088
15-2041.01,0.5666740497431352,0.32111947865228524,89.74093264248705
15-2041.02,0.575171656983391,0.33082243499701963,92.95336787564767
15-2091.00,0.4096640090764309,0.16782460033257407,49.4300518134715
17-1011.00,0.49714429007128913,0.24715244515048607,66.94300518134715
17-1012.00,0.5195811961623295,0.26996461940547706,72.2279792746114
17-1021.00,0.46446906837400703,0.21573151547621802,60.20725388601036
17-1022.00,0.3722333310990466,0.13855765278109244,42.17616580310881
17-1022.01,0.42865798271044253,0.18374766614138605,53.056994818652846
17-2011.00,0.5477526675123363,0.30003298476688006,81.76165803108809
17-2021.00,0.5068235821813238,0.2568701434551091,69.22279792746114
17-2031.00,0.5173770841578369,0.26767904721166547,71.50259067357513
17-2041.00,0.5374860513165638,0.28889125535987187,77.92746113989638
17-2051.00,0.521172545581362,0.2716208222677568,72.43523316062176
17-2051.01,0.534873367173149,0.2860895189111423,76.78756476683938
17-2061.00,0.5306065214197111,0.28154328057312633,75.44041450777202
17-2071.00,0.5244337460852788,0.27503075403303867,73.16062176165804
17-2072.00,0.45521667233981145,0.20722221877613126,58.031088082901555
17-2072.01,0.4961600445990094,0.24617478985649102,66.73575129533678
17-2081.00,0.5474474894283955,0.2996987536814532,81.65803108808291
17-2081.01,0.5342701865032564,0.2854446321862244,76.47668393782384
17-2111.01,0.5006651321380913,0.2506655745388524,68.08290155440415
