occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
53-2011.00,46.39171318726612,40.47838008231258,0.07304310465153004,100.0,100.0,"Airline Pilots, Copilots, and Flight Engineers",25.808903,15.06,0.21563178692020205,0.19664967078260237
19-2012.00,45.68678534840597,39.07725521656686,0.08457004074632378,99.89637305699482,99.89637305699482,Physicists,41.533199,85.660004,0.21563178692020205,0.19664967078260237
53-2021.00,43.76889294055658,37.576788930932906,0.08239267092519435,99.79274611398964,99.79274611398964,Air Traffic Controllers,38.642712,74.480003,0.21563178692020205,0.19664967078260237
29-1067.00,43.2766452395839,35.43161009974654,0.11070672653249639,99.68911917098445,99.68911917098445,Surgeons,27.201929,22.83,0.21563178692020205,0.19664967078260237
17-2199.08,40.14385782118755,34.45801256133169,0.08250396405967472,99.58549222797927,99.58549222797927,Robotics Engineers,36.762333,67.860001,0.21563178692020205,0.19664967078260237
29-1021.00,39.788306711600605,31.617652908500382,0.12921031530622487,99.48186528497409,98.96373056994818,"Dentists, General",24.971371,10.82,0.21563178692020205,0.19664967078260237
29-1069.04,39.50031172660834,31.25598142120797,0.13188404155830452,99.37823834196891,98.860103626943,Neurologists,36.799084,68.059998,0.21563178692020205,0.19664967078260237
19-3039.01,39.363679115711285,31.63363937330574,0.12218068953723656,99.27461139896373,99.06735751295336,Neuropsychologists and Clinical Neuropsychologists,37.097549,69.309998,0.21563178692020205,0.19664967078260237
33-1021.01,39.13013304233426,31.20645854042949,0.126955682773796,99.17098445595855,98.75647668393782,Municipal Fire Fighting and Prevention Supervisors,22.283232,2.54,0.21563178692020205,0.19664967078260237
29-1069.06,38.493894276769204,30.078984611040127,0.1398802149498173,99.06735751295336,98.13471502590673,Ophthalmologists,28.208843,28.620001,0.21563178692020205,0.19664967078260237
19-1029.02,38.37493457346784,33.1414846283243,0.07895617839447647,98.96373056994818,99.48186528497409,Molecular and Cellular Biologists,41.419514,85.459999,0.21563178692020205,0.19664967078260237
19-1021.00,38.2351074759364,32.81435445837095,0.0825972826075604,98.860103626943,99.27461139896373,Biochemists and Biophysicists,41.062489,84.010002,0.21563178692020205,0.19664967078260237
11-1011.00,38.08584905412047,27.53987684682574,0.19146730876740034,98.75647668393782,95.75129533678756,Chief Executives,29.841835,39.18,0.21563178692020205,0.19664967078260237
