ai_app_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1,0.0,0.1,0.0,0.05,0.65,0.75,0.72,1.0,0.75,0.75,0.5,0.4,0.3,0.5,1.0,1.0,0.8,0.2,0.72,0.65,0.3,0.0,0.0,0.0,0.02,0.0,0.15,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.3,0.02,0.1,0.15,0.0
2,0.05,0.05,0.03,0.02,0.2,0.3,0.6,0.75,0.65,0.7,0.45,0.2,0.15,0.5,0.75,0.7,0.75,0.72,0.75,0.72,0.75,0.3,0.75,0.65,0.75,0.5,0.78,0.73,0.75,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.25,0.5,0.25,0.02,0.0,0.05,0.12,0.05,0.0,0.0,0.15,0.5,0.03,0.07,0.1,0.02
3,0.05,0.15,0.03,0.1,0.1,0.1,0.4,0.2,0.35,0.3,0.75,0.05,0.05,0.3,0.8,0.75,0.78,0.5,0.4,0.4,0.25,0.0,0.05,0.0,0.1,0.0,0.2,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.97,0.9,0.75,0.95,1.0,0.85,1.0,0.0,0.03,0.02,0.05,0.0,0.15,0.05,0.05,0.02,0.05,0.03
4,0.25,0.68,0.3,0.5,0.75,0.6,0.55,0.65,0.7,0.55,0.75,0.35,0.25,0.4,0.75,0.85,0.72,0.5,0.5,0.4,0.45,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.75,0.5,1.0,1.0,0.5,0.55,0.0,0.03,0.02,0.1,0.05,0.35,0.1,0.12,0.05,0.3,0.2
5,0.05,0.5,0.25,0.5,0.75,0.75,0.2,0.3,0.4,0.4,0.45,0.5,0.15,0.25,0.5,0.45,0.38,0.3,1.0,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.45,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.1,0.02,0.25,0.05,0.25,0.05
6,0.4,1.0,0.25,0.5,0.5,0.5,0.45,1.0,1.0,0.5,0.5,0.35,0.2,0.45,0.5,0.3,0.25,0.03,0.1,0.35,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.2,0.05,0.25,0.2,0.35,0.2
7,0.4,0.95,0.5,0.97,0.9,0.75,0.55,0.75,0.75,0.75,0.95,0.65,0.3,0.65,0.5,0.25,0.2,0.05,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.25,0.15,0.45,0.2,0.55,0.45,0.7,0.5
8,0.5,0.95,0.5,1.0,0.25,0.25,0.15,0.75,0.5,0.5,0.3,0.15,0.05,0.5,0.3,0.1,0.25,0.0,0.03,0.15,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.4,0.15,0.2,0.1,0.2,0.25,0.3,0.2
9,0.8,0.2,0.42,0.3,0.05,0.05,0.13,0.1,0.1,0.25,0.1,0.03,0.05,0.3,0.35,0.3,0.15,0.05,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.7,0.2,0.15,0.1,0.15,0.2,0.15
10,0.3,0.95,0.25,0.9,0.95,0.9,1.0,1.0,1.0,1.0,0.9,0.92,0.9,0.8,0.75,0.5,0.7,0.05,0.4,0.75,0.8,0.0,0.0,0.0,0.02,0.0,0.05,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.03,0.15,0.0,0.0,0.05,0.05,0.0,0.2,0.05,0.2,0.4,0.3,0.3,0.4,0.4
