occ,delta_e_2023,delta_DAIOE_2023,DAIOE_2023,pctl_2023
11-1011.00,0.5703472467518029,0.325295981877362,2.5144446573488355,92.33160621761658
11-1011.03,0.5751363605139685,0.3307818331852536,2.547365346115562,93.98963730569949
11-1021.00,0.4868643157982407,0.23703686199768903,2.0041267195292214,53.67875647668394
11-2011.00,0.5410875141978466,0.2927756980208049,2.4775341591293967,88.80829015544042
11-2021.00,0.5549362812602435,0.3079542762589481,2.5538870987045357,94.4041450777202
11-2022.00,0.5700728345448896,0.324983036686045,2.4031703322462254,82.69430051813471
11-2031.00,0.5732870989795478,0.3286580978563858,2.493007256261479,90.67357512953367
11-3011.00,0.501219903814712,0.2512213919800292,2.1581688738102613,64.35233160621762
11-3021.00,0.5297353168000588,0.2806195058652587,2.441210569270665,86.32124352331606
11-3031.01,0.5500781929944625,0.3025860184080531,2.38953271697189,81.96891191709845
11-3031.02,0.5607552597273205,0.3144464613118547,2.35236214640553,79.17098445595855
11-3051.00,0.4782101001412421,0.2286848998770968,2.1699095140645124,64.66321243523316
11-3051.01,0.451686353210454,0.204020561676559,2.126377684059309,62.590673575129536
11-3051.02,0.4486888550107285,0.20132168861083857,2.088398252649798,59.58549222797927
11-3051.03,0.4503366632063567,0.20280311022783554,2.059486708298444,57.512953367875646
11-3051.04,0.4480740730831181,0.20077037496929545,2.0400766330719198,55.95854922279793
11-3051.06,0.4422866052622719,0.19561744119442476,2.128539094925089,62.69430051813472
11-3061.00,0.5570892468475546,0.3103484289531756,2.451823940180044,86.83937823834196
11-3071.01,0.5596026778902164,0.31315515710190134,2.410142775319581,83.41968911917098
11-3071.02,0.4350910888450731,0.18930425559239128,1.8028670825318154,44.35233160621762
11-3071.03,0.5607441917067835,0.3144340485328939,2.438416008671817,86.11398963730569
11-3111.00,0.5803074697152566,0.33675675940732347,2.2725445409403293,71.0880829015544
11-3121.00,0.5703051777463812,0.3252479957643315,2.478329090609648,88.9119170984456
11-3131.00,0.5692447712634348,0.32403960961076017,2.4550985746437872,87.35751295336787
11-9013.01,0.40232798666858216,0.16186780885679483,1.802686149406191,44.248704663212436
11-9013.02,0.3454543500148096,0.11933870794415459,1.6231810732032437,35.129533678756474
11-9013.03,0.40129457184697115,0.16103733339384388,1.8295064802952752,45.69948186528497
11-9021.00,0.48908934090369954,0.23920838338561523,2.366241301831619,79.79274611398964
11-9031.00,0.5386242295493812,0.29011606065766443,2.2856494972618395,72.53886010362694
11-9032.00,0.5500001822400951,0.3025002004641378,2.2937667363650385,73.16062176165804
11-9033.00,0.5886235383464589,0.3464776698955051,2.562194823406467,95.33678756476684
11-9039.01,0.5706475098099439,0.32563858045229005,2.407293790304571,83.00518134715026
11-9039.02,0.4155197243975526,0.17265664136341805,1.565962743881777,32.020725388601036
11-9041.00,0.5317199543356044,0.2827261098386572,2.5207977707188194,92.95336787564767
11-9041.01,0.4746242397943229,0.2252681690003389,2.2362776864958365,68.08290155440415
11-9051.00,0.40259069813890874,0.16207927022797394,1.6893830275629624,38.44559585492228
11-9061.00,0.43380980726471763,0.18819094887905147,1.8684191591397372,47.66839378238342
11-9071.00,0.49524549372520793,0.24526809905512498,2.1309808218262565,63.10880829015544
11-9081.00,0.4666640262030257,0.21777531335201827,2.0195014052580733,54.30051813471503
11-9111.00,0.5659925566095155,0.32034757413737563,2.3250807538674945,75.95854922279793
11-9121.00,0.5902936239423836,0.3484465624670322,2.3701275829234296,80.10362694300518
11-9121.01,0.5608015970684936,0.3144984312745731,2.457938965467167,87.56476683937824
11-9121.02,0.5279693728801006,0.2787516586994067,2.522953922418255,93.16062176165804
11-9131.00,0.5102349702642393,0.26033972488054913,2.140991075035564,63.523316062176164
11-9141.00,0.5535753400379619,0.3064456570981452,2.3033436487584913,74.30051813471502
11-9151.00,0.5335428372655949,0.2846679591974211,2.193729680621413,65.69948186528498
11-9161.00,0.5300210456905174,0.2809223088748696,2.4738285933843946,88.60103626943005
11-9199.01,0.5852059883763934,0.34246604883159143,2.5570807596435148,94.71502590673575
11-9199.02,0.5779199223017164,0.33399143659322195,2.4196426310297405,83.83419689119171
11-9199.03,0.5568577863534891,0.3100905942225082,2.496438339734906,91.0880829015544
11-9199.04,0.5630608972879213,0.3170375740546791,2.5676358644563737,95.75129533678756
11-9199.07,0.46116797496706147,0.21267590113522022,1.9823216682541744,52.538860103626945
11-9199.08,0.4828066377885572,0.23310224949269107,2.116318801114952,61.45077720207254
11-9199.09,0.4453193118510188,0.19830928950746493,1.9066746471118268,49.740932642487046
11-9199.10,0.5361444676982587,0.2874508902434492,2.3124165210440544,75.12953367875647
11-9199.11,0.5464811156516893,0.2986416097639151,2.42909409328534,85.69948186528498
13-1011.00,0.5571646937072137,0.31043249591385325,2.1976560727282815,66.01036269430051
13-1021.00,0.4864639419310313,0.23664716679907782,2.053997440443623,56.78756476683938
13-1022.00,0.504634942626145,0.2546564253192927,2.1766724247572062,65.18134715025907
13-1023.00,0.5870201516881906,0.3445926584880262,2.420380125465532,84.14507772020725
13-1031.01,0.5507764948328304,0.3033547472603389,2.4441509792768277,86.52849740932642
