occ,year,delta_e,delta_DAIOE,DAIOE_cum,pctl_cum
11-1011.00,2010,0.15299764065415536,0.023408278045738053,0.023408278045738053,88.9119170984456
11-1011.03,2010,0.15059138941395586,0.022677766565625698,0.022677766565625698,86.21761658031087
11-1021.00,2010,0.13016249003032146,0.016942273810893534,0.016942273810893534,59.79274611398964
11-2011.00,2010,0.15096135072847985,0.022789329413767104,0.022789329413767104,87.04663212435233
11-2021.00,2010,0.15226202220204527,0.023183723405056124,0.023183723405056124,88.08290155440415
11-2022.00,2010,0.14470860487915801,0.020940580326072274,0.020940580326072274,77.72020725388602
11-2031.00,2010,0.14327950838723105,0.020529017523686615,0.020529017523686615,75.02590673575129
11-3011.00,2010,0.13082439418231587,0.01711502211316996,0.01711502211316996,60.72538860103627
11-3021.00,2010,0.1501128588373156,0.02253387038831184,0.02253387038831184,85.49222797927462
11-3031.01,2010,0.1617211113623348,0.026153717860268693,0.026153717860268693,97.40932642487047
11-3031.02,2010,0.1524738898979203,0.02324828710060312,0.02324828710060312,88.18652849740933
11-3051.00,2010,0.13835845622450896,0.01914306240882936,0.01914306240882936,70.15544041450777
11-3051.01,2010,0.13758904344319026,0.018930744875612096,0.018930744875612096,69.32642487046633
11-3051.02,2010,0.13628353353085815,0.018573201511656538,0.018573201511656538,67.46113989637306
11-3051.03,2010,0.12849372240207863,0.016510636696742444,0.016510636696742444,57.82383419689119
11-3051.04,2010,0.13673139063133458,0.018695473183978607,0.018695473183978607,67.87564766839378
11-3051.06,2010,0.13350261401910446,0.017822947949933988,0.017822947949933988,63.83419689119171
11-3061.00,2010,0.1474932627122327,0.021754262545499694,0.021754262545499694,81.76165803108809
11-3071.01,2010,0.15008745140427304,0.022526243069030023,0.022526243069030023,85.28497409326425
11-3071.02,2010,0.11923084549817295,0.014215994518209188,0.014215994518209188,47.56476683937824
11-3071.03,2010,0.15300437675392442,0.02341033930585685,0.02341033930585685,89.01554404145078
11-3111.00,2010,0.133951747734882,0.017943070721229464,0.017943070721229464,64.66321243523316
11-3121.00,2010,0.14558420892990015,0.02119476188974482,0.02119476188974482,79.27461139896373
11-3131.00,2010,0.14497988697186381,0.021019167626374406,0.021019167626374406,78.23834196891191
11-9013.01,2010,0.11777641704268209,0.013871284411411776,0.013871284411411776,45.803108808290155
11-9013.02,2010,0.11289151623678796,0.01274449443824096,0.01274449443824096,41.76165803108808
