section,occ,occ_title_onetsoc2010,pctl_new_2023,pctl_rank_allapps,delta_new_minus_old,delta_level_minus_old
top_new_eq3,25-1123.00,"English Language and Literature Teachers, Postsecondary",100.0,,,
top_new_eq3,25-1112.00,"Law Teachers, Postsecondary",99.89637305699482,,,
top_new_eq3,25-1067.00,"Sociology Teachers, Postsecondary",99.79274611398964,,,
top_new_eq3,43-4041.02,Credit Checkers,99.68911917098444,,,
top_new_eq3,19-3031.02,Clinical Psychologists,99.58549222797927,,,
top_new_eq3,19-3041.00,Sociologists,99.48186528497408,,,
top_new_eq3,25-1125.00,"History Teachers, Postsecondary",99.37823834196892,,,
top_new_eq3,19-3094.00,Political Scientists,99.27461139896371,,,
top_new_eq3,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",99.17098445595856,,,
top_new_eq3,23-1022.00,"Arbitrators, Mediators, and Conciliators",99.06735751295336,,,
top_new_eq3,23-1023.00,"Judges, Magistrate Judges, and Magistrates",98.96373056994818,,,
top_new_eq3,19-3031.03,Counseling Psychologists,98.860103626943,,,
top_new_eq3,19-3093.00,Historians,98.75647668393782,,,
top_new_eq3,25-1065.00,"Political Science Teachers, Postsecondary",98.65284974093264,,,
top_new_eq3,25-1113.00,"Social Work Teachers, Postsecondary",98.54922279792746,,,
top_new_eq3,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",98.44559585492227,,,
top_new_eq3,41-9041.00,Telemarketers,98.34196891191708,,,
top_new_eq3,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",98.23834196891193,,,
top_new_eq3,25-1082.00,"Library Science Teachers, Postsecondary",98.13471502590671,,,
top_new_eq3,25-1122.00,"Communications Teachers, Postsecondary",98.03108808290156,,,
bottom_new_eq3,53-7061.00,Cleaners of Vehicles and Equipment,0.0,,,
bottom_new_eq3,51-6021.00,"Pressers, Textile, Garment, and Related Materials",0.1036269430051813,,,
bottom_new_eq3,51-3023.00,Slaughterers and Meat Packers,0.2072538860103626,,,
bottom_new_eq3,35-9021.00,Dishwashers,0.310880829015544,,,
bottom_new_eq3,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",0.4145077720207253,,,
bottom_new_eq3,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,0.5181347150259067,,,
bottom_new_eq3,53-7111.00,Mine Shuttle Car Operators,0.6217616580310881,,,
bottom_new_eq3,37-3011.00,Landscaping and Groundskeeping Workers,0.7253886010362695,,,
bottom_new_eq3,47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",0.8290155440414507,,,
bottom_new_eq3,47-2043.00,Floor Sanders and Finishers,0.932642487046632,,,
bottom_new_eq3,47-2171.00,Reinforcing Iron and Rebar Workers,1.0362694300518134,,,
bottom_new_eq3,47-4031.00,Fence Erectors,1.1398963730569949,,,
bottom_new_eq3,47-2142.00,Paperhangers,1.243523316062176,,,
bottom_new_eq3,53-7064.00,"Packers and Packagers, Hand",1.3471502590673574,,,
bottom_new_eq3,47-2082.00,Tapers,1.450777202072539,,,
bottom_new_eq3,45-2041.00,"Graders and Sorters, Agricultural Products",1.5544041450777202,,,
bottom_new_eq3,27-2031.00,Dancers,1.6580310880829014,,,
bottom_new_eq3,47-3016.00,Helpers--Roofers,1.761658031088083,,,
bottom_new_eq3,47-2053.00,Terrazzo Workers and Finishers,1.865284974093264,,,
bottom_new_eq3,51-4071.00,Foundry Mold and Coremakers,1.9689119170984457,,,
largest_increases_eq3,21-2011.00,Clergy,91.0880829015544,18.370001,72.7180819015544,
largest_increases_eq3,21-1013.00,Marriage and Family Therapists,96.78756476683938,40.419998,56.36756676683938,
largest_increases_eq3,29-1066.00,Psychiatrists,94.61139896373057,41.25,53.361398963730565,
largest_increases_eq3,19-3031.03,Counseling Psychologists,98.860103626943,45.810001,53.050102626943,
largest_increases_eq3,11-1011.00,Chief Executives,90.77720207253886,39.18,51.597202072538856,
largest_increases_eq3,27-2022.00,Coaches and Scouts,55.233160621761655,3.99,51.24316062176165,
largest_increases_eq3,21-1014.00,Mental Health Counselors,97.8238341968912,47.57,50.2538341968912,
largest_increases_eq3,21-1023.00,Mental Health and Substance Abuse Social Workers,89.22279792746114,40.32,48.902797927461144,
largest_increases_eq3,11-9081.00,Lodging Managers,60.41450777202073,12.47,47.94450777202073,
largest_increases_eq3,21-1021.00,"Child, Family, and School Social Workers",73.47150259067358,27.280001,46.19150159067358,
largest_increases_eq3,29-1141.04,Clinical Nurse Specialists,53.16062176165803,6.9899998,46.17062196165803,
largest_increases_eq3,11-9151.00,Social and Community Service Managers,76.26943005181347,30.49,45.77943005181348,
largest_increases_eq3,29-1125.00,Recreational Therapists,50.46632124352332,6.0599999,44.40632134352332,
largest_increases_eq3,29-1141.03,Critical Care Nurses,50.5699481865285,7.6100001,42.9599480865285,
largest_increases_eq3,29-1141.00,Registered Nurses,50.880829015544045,8.3299999,42.55082911554405,
largest_increases_eq3,11-2022.00,Sales Managers,90.46632124352332,48.189999,42.276322243523325,
largest_increases_eq3,33-1012.00,First-Line Supervisors of Police and Detectives,43.83419689119171,3.1600001,40.67419679119171,
largest_increases_eq3,21-1015.00,Rehabilitation Counselors,69.43005181347151,28.83,40.60005181347151,
largest_increases_eq3,29-1171.00,Nurse Practitioners,59.37823834196891,18.790001,40.588237341968906,
largest_increases_eq3,39-9032.00,Recreation Workers,48.49740932642487,8.0200005,40.47740882642487,
largest_decreases_eq3,49-9064.00,Watch Repairers,29.32642487046632,81.209999,-51.88357412953368,
largest_decreases_eq3,15-2091.00,Mathematical Technicians,49.4300518134715,99.739998,-50.3099461865285,
largest_decreases_eq3,49-9061.00,Camera and Photographic Equipment Repairers,37.409326424870464,86.699997,-49.29067057512953,
largest_decreases_eq3,51-6051.00,"Sewers, Hand",15.854922279792746,63.509998,-47.65507572020726,
largest_decreases_eq3,51-2093.00,Timing Device Assemblers and Adjusters,24.974093264248705,70.860001,-45.88590773575129,
largest_decreases_eq3,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",34.30051813471503,78.110001,-43.80948286528497,
largest_decreases_eq3,51-9071.07,Precious Metal Workers,32.84974093264249,76.449997,-43.600256067357506,
largest_decreases_eq3,43-9022.00,Word Processors and Typists,48.39378238341969,90.529999,-42.13621661658031,
largest_decreases_eq3,51-6031.00,Sewing Machine Operators,6.7357512953367875,47.880001,-41.14424970466321,
largest_decreases_eq3,51-9071.06,Gem and Diamond Workers,31.917098445595855,72.93,-41.01290155440415,
largest_decreases_eq3,17-3031.02,Mapping Technicians,52.64248704663213,92.809998,-40.16751095336787,
largest_decreases_eq3,51-9081.00,Dental Laboratory Technicians,34.818652849740936,74.790001,-39.97134815025907,
largest_decreases_eq3,17-3013.00,Mechanical Drafters,55.854922279792746,95.699997,-39.84507472020725,
largest_decreases_eq3,51-2023.00,Electromechanical Equipment Assemblers,29.22279792746114,67.650002,-38.427204072538856,
largest_decreases_eq3,51-5111.00,Prepress Technicians and Workers,43.626943005181346,81.309998,-37.68305499481865,
largest_decreases_eq3,29-2071.00,Medical Records and Health Information Technicians,58.652849740932645,94.57,-35.91715025906735,
largest_decreases_eq3,39-5092.00,Manicurists and Pedicurists,32.538860103626945,68.370003,-35.83114289637305,
largest_decreases_eq3,17-3011.01,Architectural Drafters,54.30051813471503,90.110001,-35.80948286528497,
