ability_id,anchor_type,note
1,high,"A task that requires extensive use of 'Oral Comprehension' — e.g., the ability to listen to and understand information and ideas presented through spoken words and sentences. in a demanding, real-world setting."
1,low,"A task with minimal or no need for 'Oral Comprehension' — e.g., unrelated to the ability to listen to and understand information and ideas presented through spoken words and sentences.."
2,high,"A task that requires extensive use of 'Written Comprehension' — e.g., the ability to read and understand information and ideas presented in writing. in a demanding, real-world setting."
2,low,"A task with minimal or no need for 'Written Comprehension' — e.g., unrelated to the ability to read and understand information and ideas presented in writing.."
3,high,"A task that requires extensive use of 'Oral Expression' — e.g., the ability to communicate information and ideas in speaking so others will understand. in a demanding, real-world setting."
3,low,"A task with minimal or no need for 'Oral Expression' — e.g., unrelated to the ability to communicate information and ideas in speaking so others will understand.."
4,high,"A task that requires extensive use of 'Written Expression' — e.g., the ability to communicate information and ideas in writing so others will understand. in a demanding, real-world setting."
4,low,"A task with minimal or no need for 'Written Expression' — e.g., unrelated to the ability to communicate information and ideas in writing so others will understand.."
5,high,"A task that requires extensive use of 'Fluency of Ideas' — e.g., the ability to come up with a number of ideas about a topic (the number of ideas matters, not their quality, correctness, or creativity). in a demanding, real-world setting."
5,low,"A task with minimal or no need for 'Fluency of Ideas' — e.g., unrelated to the ability to come up with a number of ideas about a topic (the number of ideas matters, not their quality, correctness, or creativity).."
6,high,"A task that requires extensive use of 'Originality' — e.g., the ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem. in a demanding, real-world setting."
6,low,"A task with minimal or no need for 'Originality' — e.g., unrelated to the ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem.."
7,high,"A task that requires extensive use of 'Problem Sensitivity' — e.g., the ability to tell when something is wrong or is likely to go wrong; recognizing a problem without necessarily solving it. in a demanding, real-world setting."
7,low,"A task with minimal or no need for 'Problem Sensitivity' — e.g., unrelated to the ability to tell when something is wrong or is likely to go wrong; recognizing a problem without necessarily solving it.."
8,high,"A task that requires extensive use of 'Deductive Reasoning' — e.g., the ability to apply general rules to specific problems to produce answers that make sense. in a demanding, real-world setting."
8,low,"A task with minimal or no need for 'Deductive Reasoning' — e.g., unrelated to the ability to apply general rules to specific problems to produce answers that make sense.."
