ai_app_id,ability_id,label,frs_score,note
1,7,high,1.0,[Abstract strategy games] engages 'Problem Sensitivity' (the ability to tell when something is wrong or is likely to go wrong; recognizing a problem without necessarily solving it). FRS 2018 scores this pair 1.00.
1,8,high,1.0,[Abstract strategy games] engages 'Deductive Reasoning' (the ability to apply general rules to specific problems to produce answers that make sense). FRS 2018 scores this pair 1.00.
1,15,high,1.0,"[Abstract strategy games] engages 'Speed of Closure' (the ability to quickly make sense of, combine, and organize information into meaningful patterns). FRS 2018 scores this pair 1.00."
1,16,high,1.0,[Abstract strategy games] engages 'Flexibility of Closure' (the ability to identify or detect a known pattern that is hidden in other distracting material). FRS 2018 scores this pair 1.00.
1,6,high,0.75,"[Abstract strategy games] engages 'Originality' (the ability to come up with unusual or clever ideas about a given topic or situation, or to develop creative ways to solve a problem). FRS 2018 scores this pair 0.75."
1,10,high,0.75,"[Abstract strategy games] engages 'Information Ordering' (the ability to arrange things or actions in a certain order or pattern according to a specific rule or set of rules (e.g., numbers, letters, words, pictures)). FRS 2018 scores this pair 0.75."
1,14,high,0.75,"[Abstract strategy games] engages 'Memorization' (the ability to remember information such as words, numbers, pictures, and procedures). FRS 2018 scores this pair 0.75."
1,19,high,0.75,[Abstract strategy games] engages 'Visualization' (the ability to imagine how something will look after it is moved or when its parts are rearranged). FRS 2018 scores this pair 0.75.
1,1,low,0.0,[Abstract strategy games] does little for 'Oral Comprehension' (the ability to listen to and understand information and ideas presented through spoken words and sentences). FRS 2018 scores this pair 0.00.
1,32,low,0.0,"[Abstract strategy games] does little for 'Static Strength' (the ability to exert maximum muscle force to lift, push, pull, or carry objects). FRS 2018 scores this pair 0.00."
1,33,low,0.0,[Abstract strategy games] does little for 'Dynamic Strength' (the ability to exert muscle force repeatedly or continuously over time; muscular endurance and resistance to fatigue). FRS 2018 scores this pair 0.00.
1,35,low,0.0,[Abstract strategy games] does little for 'Trunk Strength' (the ability to use abdominal and lower back muscles to support part of the body repeatedly or continuously without fatiguing). FRS 2018 scores this pair 0.00.
1,39,low,0.0,"[Abstract strategy games] does little for 'Gross Body Coordination' (the ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion). FRS 2018 scores this pair 0.00."
1,42,low,0.0,[Abstract strategy games] does little for 'Far Vision' (the ability to see details at a distance). FRS 2018 scores this pair 0.00.
1,46,low,0.0,[Abstract strategy games] does little for 'Night Vision' (the ability to see under low‑light conditions). FRS 2018 scores this pair 0.00.
1,52,low,0.0,[Abstract strategy games] does little for 'Speech Clarity' (the ability to speak clearly so others can understand you). FRS 2018 scores this pair 0.00.
