index,onetsoccode,agg_pairs,ai_score,software_score,robot_score
Chief Executives,11-1011.00,50.0,0.2043062448501587,0.18072541058063507,0.12222982197999954
Chief Sustainability Officers,11-1011.03,22.0,0.2987167239189148,0.45957496762275696,0.053837064653635025
General and Operations Managers,11-1021.00,27.0,0.24797934293746948,0.384657621383667,0.26302391290664673
Advertising and Promotions Managers,11-2011.00,38.0,0.22392037510871887,0.45348694920539856,0.12625478208065033
Marketing Managers,11-2021.00,31.0,0.5601937770843506,0.39255499839782715,0.0864655077457428
Sales Managers,11-2022.00,28.0,1.0456809997558594,0.5660568475723267,0.3656982481479645
Public Relations and Fundraising Managers,11-2031.00,32.0,0.40220212936401367,0.5984278321266174,0.3166123628616333
Administrative Services Managers,11-3011.00,16.0,0.6883295774459839,0.8738765716552734,0.4252976179122925
Computer and Information Systems Managers,11-3021.00,21.0,0.33129817247390747,0.16640132665634155,0.034991305321455
Treasurers and Controllers,11-3031.01,29.0,0.4581449329853058,0.38142189383506775,0.08890209347009659
"Financial Managers, Branch or Department",11-3031.02,29.0,0.46703290939331055,0.2502652704715729,0.06397607177495956
Industrial Production Managers,11-3051.00,26.0,0.3921595513820648,0.19945909082889557,0.10136515647172928
Quality Control Systems Managers,11-3051.01,34.0,0.8054981827735901,0.39256489276885986,0.13945797085762024
Geothermal Production Managers,11-3051.02,19.0,0.6296316385269165,0.46070581674575806,0.4695119559764862
Biofuels Production Managers,11-3051.03,20.0,0.4501034915447235,0.7760997414588928,0.29388850927352905
Biomass Power Plant Managers,11-3051.04,29.0,0.5301793813705444,0.8814472556114197,0.4801255464553833
Hydroelectric Production Managers,11-3051.06,18.0,0.6364997029304504,0.4502522647380829,0.6870974898338318
Purchasing Managers,11-3061.00,22.0,0.21161817014217377,0.14383231103420258,0.03541397303342819
Transportation Managers,11-3071.01,40.0,0.7309870719909668,0.6663064956665039,0.26866158843040466
Storage and Distribution Managers,11-3071.02,36.0,0.16557690501213074,0.11498655378818512,0.07483048737049103
Logistics Managers,11-3071.03,36.0,1.0533154010772705,0.8715207576751709,0.429451048374176
Compensation and Benefits Managers,11-3111.00,39.0,0.47246652841567993,0.3863716721534729,0.09214597195386887
Human Resources Managers,11-3121.00,41.0,0.42440536618232727,0.21750947833061218,0.04637964442372322
Training and Development Managers,11-3131.00,13.0,0.5691858530044556,0.2780880331993103,0.07733774185180664
Nursery and Greenhouse Managers,11-9013.01,23.0,0.9519006013870239,0.5684726238250732,0.4381278157234192
Farm and Ranch Managers,11-9013.02,42.0,0.9511256217956543,0.5089829564094543,0.39437878131866455
Aquacultural Managers,11-9013.03,26.0,0.6626065969467163,1.2294132709503174,0.3423302173614502
Construction Managers,11-9021.00,35.0,0.9005094170570374,0.4831011891365051,0.16113632917404175
"Education Administrators, Preschool and Childcare Center/Program",11-9031.00,31.0,0.6735660433769226,0.38235753774642944,0.07951152324676514
"Education Administrators, Elementary and Secondary School",11-9032.00,49.0,0.4875261187553406,0.367105096578598,0.21666498482227325
"Education Administrators, Postsecondary",11-9033.00,44.0,0.3627052903175354,0.20229171216487885,0.08048814535140991
Distance Learning Coordinators,11-9039.01,28.0,0.4941543936729431,0.45325881242752075,0.08448748290538788
Fitness and Wellness Coordinators,11-9039.02,29.0,0.18130573630332947,0.14301809668540955,0.0557139590382576
Architectural and Engineering Managers,11-9041.00,25.0,0.31688761711120605,0.22222591936588287,0.049089498817920685
Biofuels/Biodiesel Technology and Product Development Managers,11-9041.01,21.0,0.6663743257522583,0.4970299005508423,0.12442593276500702
Food Service Managers,11-9051.00,52.0,0.2834904193878174,0.2564481496810913,0.06440696865320206
Funeral Service Managers,11-9061.00,23.0,0.48680379986763,0.3641979694366455,0.12130112200975418
Gaming Managers,11-9071.00,26.0,0.1782752424478531,0.16516749560832977,0.08002171665430069
Lodging Managers,11-9081.00,28.0,0.36178019642829895,0.322849303483963,0.36820584535598755
Medical and Health Services Managers,11-9111.00,35.0,0.61061030626297,0.5338771939277649,0.2155018150806427
Natural Sciences Managers,11-9121.00,26.0,0.397132009267807,0.2247072011232376,0.11058109998703003
Clinical Research Coordinators,11-9121.01,41.0,0.29055655002593994,0.2256072759628296,0.06687765568494797
Water Resource Specialists,11-9121.02,27.0,0.6090028285980225,0.3609095513820648,0.06303779035806656
Postmasters and Mail Superintendents,11-9131.00,12.0,0.2845219671726227,0.3739076554775238,0.17124660313129425
"Property, Real Estate, and Community Association Managers",11-9141.00,34.0,0.3040969967842102,0.22403284907341003,0.15161146223545074
Social and Community Service Managers,11-9151.00,18.0,0.23670081794261932,0.17469559609889984,0.18541358411312103
Emergency Management Directors,11-9161.00,31.0,0.7498615980148315,0.4828851521015167,0.2622218728065491
Regulatory Affairs Managers,11-9199.01,25.0,0.45190876722335815,0.5548900961875916,0.17866773903369904
Compliance Managers,11-9199.02,26.0,0.562523603439331,0.3246392607688904,0.12417484819889069
Investment Fund Managers,11-9199.03,25.0,0.6930443048477173,0.49794667959213257,0.12362824380397797
Supply Chain Managers,11-9199.04,51.0,0.49701961874961853,0.49792104959487915,0.12693774700164795
Security Managers,11-9199.07,40.0,0.47364869713783264,0.5278892517089844,0.09666363894939423
Loss Prevention Managers,11-9199.08,30.0,0.4161792993545532,0.2662637531757355,0.04843197762966156
Wind Energy Operations Managers,11-9199.09,17.0,0.29548364877700806,0.3009895086288452,0.04738973081111908
Wind Energy Project Managers,11-9199.10,15.0,0.20939034223556519,0.6106572151184082,0.0922158882021904
Brownfield Redevelopment Specialists and Site Managers,11-9199.11,18.0,0.2735747992992401,0.14024481177330017,0.0663394182920456
"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,22.0,0.269865483045578,0.21726949512958527,0.17405326664447784
"Buyers and Purchasing Agents, Farm Products",13-1021.00,18.0,1.1514979600906372,0.4241069257259369,0.17248110473155975
"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,26.0,0.6382635831832886,0.4146319627761841,0.2393796741962433
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023.00,35.0,0.5145614147186279,0.4828181564807892,0.16781151294708252
"Claims Examiners, Property and Casualty Insurance",13-1031.01,22.0,0.34039875864982605,0.3006014823913574,0.05129684507846832
"Insurance Adjusters, Examiners, and Investigators",13-1031.02,22.0,0.3182255029678345,0.28655487298965454,0.08984310179948807
"Insurance Appraisers, Auto Damage",13-1032.00,11.0,1.014514446258545,0.45756569504737854,0.23883986473083496
Environmental Compliance Inspectors,13-1041.01,34.0,0.4471604824066162,0.3531659245491028,0.19001340866088867
Licensing Examiners and Inspectors,13-1041.02,20.0,0.0485241636633873,0.11181007325649261,0.008783114142715931
Equal Opportunity Representatives and Officers,13-1041.03,23.0,0.3327595293521881,0.2559220492839813,0.11623671650886536
Government Property Inspectors and Investigators,13-1041.04,23.0,0.39679861068725586,0.322400838136673,0.2892131507396698
Coroners,13-1041.06,21.0,0.3748564124107361,0.2916136085987091,0.1974422186613083
Regulatory Affairs Specialists,13-1041.07,26.0,0.4133527874946594,0.23910021781921387,0.12864620983600616
Cost Estimators,13-1051.00,22.0,0.5577048659324646,0.415265291929245,0.19298042356967926
Human Resources Specialists,13-1071.00,29.0,0.29404231905937195,0.23166035115718842,0.0251762755215168
Farm Labor Contractors,13-1074.00,8.0,0.0853596106171608,0.08011090755462646,0.0684381052851677
Labor Relations Specialists,13-1075.00,36.0,0.6035240292549133,0.2963770031929016,0.10817869007587433
Logisticians,13-1081.00,29.0,0.2606380581855774,0.5761804580688477,0.2183857560157776
Logistics Engineers,13-1081.01,40.0,0.9910005927085876,0.4371411204338074,0.13961301743984222
Logistics Analysts,13-1081.02,44.0,0.7394152879714966,0.49338865280151367,0.19251754879951477
Management Analysts,13-1111.00,16.0,0.5311529040336609,0.3367772102355957,0.17022180557250977
"Meeting, Convention, and Event Planners",13-1121.00,32.0,0.6225241422653198,0.4165332019329071,0.32180336117744446
Fundraisers,13-1131.00,39.0,0.34392279386520386,0.228347510099411,0.1438257396221161
"Compensation, Benefits, and Job Analysis Specialists",13-1141.00,32.0,0.5216728448867798,0.30408522486686707,0.06740278750658035
Training and Development Specialists,13-1151.00,27.0,0.26182588934898376,0.19073952734470367,0.04156406968832016
